Country,Year,Industry,AI Adoption Rate (%),AI-Generated Content Volume (TBs per year),Job Loss Due to AI (%),Revenue Increase Due to AI (%),Human-AI Collaboration Rate (%),Top AI Tools Used,Regulation Status,Consumer Trust in AI (%),Market Share of AI Companies (%)
South Korea,2022,Media,44.29,33.09,16.77,46.12,74.79,Bard,Strict,40.77,18.73
China,2025,Legal,34.75,66.74,46.89,52.46,26.17,DALL-E,Strict,35.67,35.02
USA,2022,Automotive,81.06,96.13,10.66,45.6,39.66,Stable Diffusion,Moderate,54.47,22.76
France,2021,Legal,85.24,93.76,27.7,78.24,29.45,Claude,Moderate,51.84,1.93
France,2021,Gaming,78.95,45.62,17.45,1.05,21.7,Midjourney,Strict,41.77,21.41
USA,2021,Retail,66.95,47.72,0.86,27.58,64.42,ChatGPT,Lenient,68.14,8.09
Australia,2023,Media,68.23,6.14,6.2,53.13,53.16,Claude,Moderate,71.6,15.26
UK,2023,Gaming,91.27,33.87,41.67,56.26,59.93,ChatGPT,Moderate,46.98,28.51
Canada,2025,Education,17.02,87.77,4.59,52.45,64.72,Claude,Moderate,60.55,22.7
China,2025,Healthcare,25.5,18.74,15.07,40.81,64.86,Stable Diffusion,Moderate,51.07,39.97
USA,2023,Retail,11.94,91.59,26.28,73.93,57.55,Synthesia,Moderate,65.79,29.3
India,2023,Gaming,39.04,78.44,31.32,28.93,77.95,ChatGPT,Strict,39.63,22.79
France,2020,Marketing,71.0,77.53,17.41,12.56,31.57,Midjourney,Strict,56.93,38.36
France,2021,Legal,25.62,86.47,47.64,71.1,36.22,Bard,Lenient,63.66,29.92
USA,2025,Gaming,49.71,50.19,14.09,12.41,40.18,Stable Diffusion,Moderate,57.05,5.76
Japan,2024,Legal,67.94,96.81,8.84,51.06,23.04,Stable Diffusion,Lenient,33.16,7.6
Germany,2022,Education,43.85,52.54,32.07,73.68,74.08,Stable Diffusion,Strict,56.79,25.07
UK,2025,Manufacturing,64.87,49.04,36.31,38.16,82.41,Synthesia,Lenient,78.14,20.54
Japan,2022,Healthcare,62.98,24.98,27.51,27.51,53.78,Midjourney,Strict,55.93,30.55
France,2025,Marketing,62.94,7.49,22.4,71.69,63.54,Stable Diffusion,Lenient,44.26,41.99
Canada,2025,Gaming,94.76,17.58,14.48,71.63,67.44,Midjourney,Strict,71.96,34.65
South Korea,2025,Healthcare,44.1,87.85,39.96,33.44,72.72,Midjourney,Lenient,76.74,40.98
Japan,2023,Marketing,12.86,5.08,18.5,20.65,75.67,DALL-E,Lenient,38.35,5.25
France,2022,Media,49.97,5.59,22.61,17.55,34.97,Synthesia,Lenient,78.71,27.6
France,2023,Media,88.41,5.34,36.07,13.78,36.24,Synthesia,Moderate,58.85,35.86
France,2020,Automotive,79.59,20.37,39.06,44.06,83.18,Synthesia,Moderate,45.04,14.03
USA,2020,Retail,26.12,73.78,21.51,22.63,65.41,Midjourney,Strict,44.56,3.46
Germany,2022,Finance,87.95,12.55,12.61,3.82,25.44,Claude,Lenient,34.37,31.99
France,2021,Media,42.53,44.38,8.99,49.69,47.11,Synthesia,Moderate,55.15,46.58
India,2025,Retail,32.74,25.34,9.41,33.42,73.55,DALL-E,Lenient,70.72,19.93
Canada,2022,Retail,67.15,65.71,8.92,19.32,40.95,Bard,Lenient,48.1,22.15
India,2022,Automotive,28.48,34.49,18.44,23.5,35.14,DALL-E,Strict,57.31,14.27
Japan,2025,Retail,44.97,43.93,32.93,18.56,24.81,Stable Diffusion,Moderate,54.38,46.37
Japan,2023,Media,71.57,72.4,18.28,49.83,32.73,Claude,Moderate,42.97,28.45
India,2025,Gaming,16.79,8.5,28.43,65.47,23.38,Synthesia,Moderate,59.92,16.4
South Korea,2023,Marketing,74.81,54.67,22.3,52.34,84.8,Stable Diffusion,Lenient,42.06,11.7
UK,2024,Gaming,77.52,3.4,14.58,67.9,66.23,DALL-E,Moderate,31.46,41.11
Japan,2023,Media,27.61,14.49,35.67,18.49,42.88,Claude,Strict,30.12,42.23
USA,2022,Manufacturing,44.61,26.16,49.34,58.53,75.29,Stable Diffusion,Moderate,32.96,43.24
Germany,2021,Marketing,81.18,3.56,33.94,68.33,76.84,Claude,Lenient,41.73,39.04
Japan,2022,Manufacturing,41.28,22.14,10.33,6.67,40.15,Claude,Lenient,61.31,33.26
China,2024,Manufacturing,48.54,89.58,34.88,66.31,60.28,Midjourney,Moderate,30.52,24.81
Australia,2025,Gaming,62.64,61.24,37.25,43.72,20.21,Claude,Lenient,79.68,47.08
Japan,2022,Legal,57.35,94.06,37.36,17.2,20.37,Midjourney,Moderate,88.69,7.53
South Korea,2024,Retail,26.63,95.37,49.58,1.75,72.35,Midjourney,Strict,53.62,48.53
South Korea,2024,Media,25.98,52.9,16.06,11.74,47.03,Claude,Strict,55.83,42.56
France,2020,Media,20.47,1.61,2.43,31.04,52.49,Stable Diffusion,Strict,35.8,24.29
USA,2021,Manufacturing,83.4,66.33,24.27,34.95,47.21,Claude,Moderate,47.81,47.4
Canada,2023,Media,61.49,17.53,48.25,20.74,47.72,DALL-E,Moderate,87.9,29.32
Australia,2022,Gaming,89.96,80.3,25.11,74.04,51.67,Claude,Strict,78.51,17.66
USA,2025,Media,33.23,75.51,12.61,63.58,77.34,DALL-E,Lenient,48.51,4.66
South Korea,2020,Automotive,30.94,82.97,37.08,60.61,56.01,Bard,Lenient,85.1,38.38
Australia,2023,Retail,91.41,67.49,6.67,71.61,54.73,ChatGPT,Strict,53.96,29.35
